Date,Sales
1/1/2010,52.14832604
1/2/2010,44.75284434
1/3/2010,52.39531242
1/4/2010,63.6962583
1/5/2010,53.93660088
1/6/2010,55.29035696
1/7/2010,67.47946709
1/8/2010,57.03322688
1/9/2010,44.81874305
1/10/2010,54.26559797
1/11/2010,50.51101775
1/12/2010,54.7846497
1/13/2010,61.79342601
1/14/2010,42.22671046
1/15/2010,39.77380622
1/16/2010,46.74715138
1/17/2010,44.48419994
1/18/2010,59.38419392
1/19/2010,53.88758558
1/20/2010,51.18933612
1/21/2010,71.87624415
1/22/2010,54.37242354
1/23/2010,54.37786933
1/24/2010,43.76708996
1/25/2010,55.07874608
1/26/2010,64.58745352
1/27/2010,55.81215417
1/28/2010,65.67236283
1/29/2010,53.87198682
1/30/2010,53.984649
1/31/2010,52.81343126
2/1/2010,76.69486145
2/2/2010,66.01511415
2/3/2010,58.96100308
2/4/2010,71.62867784
2/5/2010,51.27022894
2/6/2010,60.32672771
2/7/2010,44.26448407
2/8/2010,53.54245898
2/9/2010,69.96526023
2/10/2010,75.57309215
2/11/2010,68.63675529
2/12/2010,62.30354222
2/13/2010,58.41244552
2/14/2010,50.2522848
2/15/2010,60.52043059
2/16/2010,66.78858807
2/17/2010,80.17723426
2/18/2010,72.04070781
2/19/2010,51.12091021
2/20/2010,65.38050407
2/21/2010,60.93592658
2/22/2010,62.76902081
2/23/2010,77.24094032
2/24/2010,81.81024365
2/25/2010,78.55170217
2/26/2010,60.28845871
2/27/2010,62.05793717
2/28/2010,68.37691107
3/1/2010,77.66498002
3/2/2010,70.15596018
3/3/2010,73.68401033
3/4/2010,63.82264567
3/5/2010,58.96886912
3/6/2010,72.53226485
3/7/2010,78.04089536
3/8/2010,70.71212021
3/9/2010,83.40828222
3/10/2010,79.41580107
3/11/2010,68.82825796
3/12/2010,72.70774244
3/13/2010,79.57628757
3/14/2010,68.10591248
3/15/2010,84.96824397
3/16/2010,55.54605003
3/17/2010,84.18278495
3/18/2010,75.73107831
3/19/2010,68.43042344
3/20/2010,68.97220166
3/21/2010,53.41811428
3/22/2010,71.57970929
